tic_id,signal_num,period,epoch,depth,duration,sde,fap,method,filepath
261136679,1,6.26991652011639,1325.5024466051937,0.000271443210299,0.1202845164055601,14.334919617493105,6.619987872336507e-47,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\['261136679']_s0001_processed.pkl
121470987,1,1.5517948388210443,1326.2145813872637,0.0003848290868461,0.0308121185398629,7.181667323655179,3.443316599905373e-13,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_121470987_s0001_processed.pkl
144065872,1,2.187272026053691,1326.5477135288772,0.0011964551322281,0.0267147512609929,15.533054190653504,1.036342221456868e-54,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_144065872_s0001_processed.pkl
144065872,2,2.181869758245949,1326.4551686019356,0.0006106525843261,0.0265148977176157,9.569904992718085,5.350197907269879e-22,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_144065872_s0001_processed.pkl
149603524,1,4.413349247018318,1326.006908390758,0.0012068892934945,0.0337384706947011,16.902265273360314,2.164747779087959e-64,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_149603524_s0001_processed.pkl
149603524,2,4.413349247018318,1325.9789793856562,0.0008760689062157,0.0335384400658307,9.202379617941675,1.750544918680782e-20,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_149603524_s0001_processed.pkl
149603524,3,4.413349247018318,1325.9520606893443,0.0009738488026488,0.033319888236782,11.306930544605043,6.0628786809390005e-30,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_149603524_s0001_processed.pkl
150437899,1,0.6084132969566124,1325.622154118152,0.0053715369297193,0.0425619242351536,7.489592022582097,3.4544015164839277e-14,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_150437899_s0001_processed.pkl
167600516,1,2.2089907172488674,1325.4394612021842,0.0008476029899697,0.0280658239241254,7.324853992292279,1.1957947806567517e-13,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_167600516_s0001_processed.pkl
183979262,1,3.431153221253038,1326.0557639721296,0.0025560710165167,0.0306848865264311,16.206501515315775,2.268348467347978e-59,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_183979262_s0001_processed.pkl
183979262,2,1.7166050980475511,1326.1156915073936,0.0008309099864316,0.0636398384832338,11.59968318100423,2.068032880335258e-31,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_183979262_s0001_processed.pkl
183979262,3,1.7166050980475511,1326.0566956578718,0.0003054656747005,0.0147205431747635,8.326630416641608,4.1587950860881386e-17,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_183979262_s0001_processed.pkl
201248411,1,0.9802004344396672,1326.1093737353958,0.0056117137194134,0.0252401775327973,17.67715123926037,3.1447428227719075e-70,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_201248411_s0001_processed.pkl
206609630,1,0.6703105414436596,1325.8278487630362,0.0186904681743671,0.0229662985843048,12.978985443942015,8.049953048589604e-39,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_206609630_s0001_processed.pkl
206609630,2,0.6703105414436596,1325.493648585789,0.0168069062218987,0.0228304309429068,17.563658423683997,2.3380951228956586e-69,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_206609630_s0001_processed.pkl
219338557,1,4.110698475908808,1327.2758526499108,0.0006809543538119,0.0617386562782934,7.068727998264115,7.818014304606049e-13,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_219338557_s0001_processed.pkl
231663901,1,1.4316174455795818,1326.003699479838,0.017482479294022,0.0586342624636699,13.658673671935276,8.960914169419535e-43,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_231663901_s0001_processed.pkl
231670397,1,4.085571252342955,1327.6747844012282,0.0025424424688635,0.2131369050895857,10.473702632856162,5.704560422267884e-26,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_231670397_s0001_processed.pkl
234523599,1,3.7896780540129615,1325.6588207974537,0.0484798769189801,0.0745493950358479,13.458143357999976,1.3787918414897867e-41,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_234523599_s0001_processed.pkl
234994474,1,1.4013525236909772,1326.0330292156134,0.0005474782043013,0.0485254468143328,11.387183510290312,2.4219741083846198e-30,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_234994474_s0001_processed.pkl
235037761,1,6.248068311974373,1326.065438447952,0.0069381582063942,0.0475224294459781,17.840115370967535,1.7249146438336941e-71,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_235037761_s0001_processed.pkl
235037761,2,6.404144541058339,1325.415858884675,0.0007581454562507,0.280671425284983,7.169295634135936,3.7692304771067473e-13,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_235037761_s0001_processed.pkl
238176110,1,2.801245244600871,1326.7215554232191,0.0025289163001444,0.0270056407368333,17.597055108603417,1.297349518103819e-69,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_238176110_s0001_processed.pkl
238176110,2,2.7937327492931416,1326.6482558910402,0.0013612897041745,0.0268222307548327,8.47186620246772,1.2074621460976598e-17,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_238176110_s0001_processed.pkl
25155310,1,3.2873761966957904,1327.5241158199276,0.0069944330817141,0.1319699740497174,12.4104472852364,1.1468391972669476e-35,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_25155310_s0001_processed.pkl
25375553,1,2.310804818615995,1325.5841563300958,0.0065270563596554,0.1286338674971433,15.805906343160418,1.4164331310276545e-56,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_25375553_s0001_processed.pkl
260043723,1,3.133960203312556,1327.0765146381932,0.0002803705867189,0.145352319913898,7.374995224259099,8.217547174738241e-14,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_260043723_s0001_processed.pkl
260271203,1,5.652863673829873,1330.093969990643,0.0367147610563304,0.1354861007738081,10.6542472981103,8.329339231816016e-27,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_260271203_s0001_processed.pkl
260304296,1,1.024118334630718,1326.2970529080155,0.0052154103822824,0.0484456197147693,11.224314692806743,1.548893570728381e-29,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_260304296_s0001_processed.pkl
260304296,2,1.025778521799383,1325.775367586737,0.004644656388365,0.0505143853080796,13.851531453872411,6.226424036938475e-44,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_260304296_s0001_processed.pkl
260609205,1,4.469000648754231,1328.7483217443569,0.0145672893589914,0.1937205466399762,10.536587063703005,2.929329832619182e-26,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_260609205_s0001_processed.pkl
260655847,1,2.047414726901145,1326.7817838128583,0.0001856255513315,0.0308659566306648,7.535287233240047,2.4363053616279643e-14,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_260655847_s0001_processed.pkl
261136679,1,6.26991652011639,1325.5024466051937,0.000271443210299,0.1202845164055601,14.334919617493105,6.619987872336507e-47,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_261136679_s0001_processed.pkl
266980320,1,6.033822714173585,1329.1989090758057,0.0015449030572509,0.0841801140961036,13.626066535351107,1.4014268546602973e-42,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_266980320_s0001_processed.pkl
267263253,1,4.123172218145842,1325.704023218739,0.0012415986065156,0.0272626848033193,20.00401831775278,2.5404559508368358e-89,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_267263253_s0001_processed.pkl
267263253,2,4.135798927649554,1325.862916664627,0.0006961266463171,0.0270823800837368,10.805842429906608,1.6148929150466155e-27,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_267263253_s0001_processed.pkl
277683130,1,6.204328985732564,1328.0557778925793,0.0032888556905052,0.0695773050999004,13.098620521519804,1.6764820428039206e-39,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_277683130_s0001_processed.pkl
278866211,1,2.192656317635813,1327.3611258268652,0.0047310858161194,0.0546808915096413,13.042923729042997,3.4865417824443015e-39,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_278866211_s0001_processed.pkl
279740441,1,0.7421173592576923,1325.989692095492,0.0009136076842474,0.0455114011259931,8.996280345188085,1.1674727585192746e-19,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_279740441_s0001_processed.pkl
281459670,1,3.178127638402991,1328.0356730414246,0.0128254106312768,0.0992357671053772,10.377658561672478,1.5668320293259315e-25,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_281459670_s0001_processed.pkl
281541555,1,4.74663656260111,1329.898624045789,0.0119360234357458,0.069577977110387,9.056920557492171,6.709263202415381e-20,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_281541555_s0001_processed.pkl
289793076,1,3.0397304152801783,1328.0934509272868,0.0211075104960258,0.0992774146265084,10.737180975699085,3.404592510604419e-27,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_289793076_s0001_processed.pkl
290131778,1,3.306080446513945,1325.379501743221,0.0032910053749756,0.234016609986554,12.587026744959571,1.2443606165612132e-36,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_290131778_s0001_processed.pkl
29344935,1,2.763936299504293,1326.1334424009028,0.0119912559772671,0.1056879633856954,11.074085308978214,8.379132405912584e-29,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_29344935_s0001_processed.pkl
29831208,1,1.8440164149973703,1326.5439750448732,0.0020187469531451,0.0515618370145013,11.529535517241555,4.68237952717225e-31,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_29831208_s0001_processed.pkl
299799658,1,4.110596875859115,1325.4283501848895,0.0004570803061619,0.0462987950190076,7.504893286227662,3.073933167427683e-14,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_299799658_s0001_processed.pkl
300293197,1,6.565329268486924,1329.251542973706,0.0015059982818871,0.0632653846473097,11.92842064286891,4.207747812344888e-33,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_300293197_s0001_processed.pkl
300871545,1,4.823224357528428,1327.3210509969178,0.0022720106946542,0.0340160401044071,11.500385152287054,6.566404521010425e-31,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_300871545_s0001_processed.pkl
300871545,2,2.4063705792705927,1327.4028982920713,0.0010314417574665,0.0579266626544234,10.289487046727528,3.9296969281168784e-25,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_300871545_s0001_processed.pkl
300871545,3,3.334281855971624,1327.9229726750686,0.0004890964476781,0.0947718642091777,7.508349203343481,2.993880326819468e-14,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_300871545_s0001_processed.pkl
30312676,1,1.0983413259041497,1325.4639788188074,0.00102784917086,0.1306676902392064,7.327134602257464,1.1756282203142394e-13,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_30312676_s0001_processed.pkl
316937670,1,0.6244382135849283,1325.342923471094,0.0018664213947071,0.0240176093472981,7.619073002377683,1.2775196988707834e-14,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_316937670_s0001_processed.pkl
336732616,1,3.552257691306409,1327.246261858433,0.0103148449046091,0.1321099140305346,11.77823047784828,2.527149493884661e-32,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_336732616_s0001_processed.pkl
349518800,1,2.165687512318885,1326.657329862839,0.006599641030052,0.1418727724958688,8.750430696583765,1.0626999802628124e-18,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_349518800_s0001_processed.pkl
349790953,1,1.5517005189087465,1325.93717722984,0.0043302004840655,0.0945717599899712,9.998193938411749,7.760084661528166e-24,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_349790953_s0001_processed.pkl
350445771,1,3.191118722970938,1342.7548554361958,0.0031910702214242,0.0429927282326315,8.083136312915354,3.15610002234834e-16,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_350445771_s0001_processed.pkl
355509914,1,1.7324309206818285,1326.1323444457162,0.0100100065630505,0.0660415072058583,7.094282842837228,6.501198274058192e-13,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_355509914_s0001_processed.pkl
355703913,1,2.1080706556894464,1326.099627399966,0.0105507310706629,0.0451861557121453,13.670075044859034,7.661853626128973e-43,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_355703913_s0001_processed.pkl
373844472,1,0.919684851073266,1326.0602154655408,0.0079845686240634,0.0456384128243135,15.379161638844304,1.129265446154274e-53,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_373844472_s0001_processed.pkl
388104525,1,2.50109308224769,1327.405143916293,0.013918048762553,0.1052954026921513,13.50375273730386,7.430462142310397e-42,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_388104525_s0001_processed.pkl
