tic_id,signal_num,period,epoch,depth,duration,sde,fap,method,filepath,classification,confidence
s0001,1,6.26991652011639,1325.5024466051937,0.0002714432102990383,0.12028451640556018,14.334919617493105,6.619987872336507e-47,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\['261136679']_s0001_processed.pkl,PLANET,0.5089047387998599
s0001,1,1.5517948388210445,1326.2145813872637,0.00038482908684611683,0.030812118539862984,7.181667323655179,3.443316599905373e-13,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_121470987_s0001_processed.pkl,PLANET,0.4883159111062633
s0001,1,2.187272026053691,1326.5477135288772,0.0011964551322281025,0.026714751260992986,15.533054190653504,1.036342221456868e-54,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_144065872_s0001_processed.pkl,PLANET,0.5203645734234332
s0001,2,2.181869758245949,1326.4551686019356,0.0006106525843261323,0.02651489771761575,9.569904992718085,5.350197907269879e-22,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_144065872_s0001_processed.pkl,OTHER,0.36354201854475776
s0001,1,4.413349247018318,1326.006908390758,0.0012068892934945508,0.033738470694701136,16.902265273360314,2.164747779087959e-64,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_149603524_s0001_processed.pkl,PLANET,0.5564640495360345
s0001,2,4.413349247018318,1325.9789793856562,0.0008760689062157212,0.03353844006583077,9.202379617941677,1.750544918680782e-20,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_149603524_s0001_processed.pkl,PLANET,0.403079341553775
s0001,3,4.413349247018318,1325.9520606893445,0.0009738488026488357,0.03331988823678201,11.306930544605045,6.0628786809390005e-30,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_149603524_s0001_processed.pkl,PLANET,0.5594430182076431
s0001,1,0.6084132969566124,1325.6221541181521,0.005371536929719367,0.042561924235153606,7.489592022582097,3.4544015164839277e-14,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_150437899_s0001_processed.pkl,PLANET,0.39135597139294953
s0001,1,2.2089907172488674,1325.4394612021842,0.0008476029899697757,0.02806582392412541,7.324853992292279,1.1957947806567517e-13,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_167600516_s0001_processed.pkl,PLANET,0.48908308927639454
s0001,1,3.431153221253038,1326.0557639721296,0.002556071016516781,0.03068488652643118,16.206501515315775,2.268348467347978e-59,tls,C:\Users\siddh\OneDrive\Desktop\bah\data\processed\TIC_183979262_s0001_processed.pkl,PLANET,0.5944381021011649
