toi,tid,tfopwg_disp,sectors,pl_orbper,pl_trandep,pl_rade
1126.01,405862830,FP,,1.6268695,1502.0,2.36498
1127.01,269450900,FP,,2.32439,2704.18,
1128.01,425721385,FP,,13.5499,1180.0,6.24633
1129.01,91576611,FP,,4.43651,1520.0,19.9664
113.01,97409519,KP,,3.372877,17163.60419,14.201803
1130.01,254113311,CP,,8.34998,16680.0,11.1424
1130.02,254113311,CP,,4.0686405,2650.0950013,3.7548333
1131.01,198213332,PC,,0.5860366,410.5241553,4.906408
1132.01,267489265,FP,,1.5502952,411.0,3.34528
1133.01,69997672,FP,,1.80709,450.0,4.86242
1134.01,122220263,FP,,18.6922101,11126.0,18.1458
1135.01,154872375,CP,,8.0277326,5705.0,9.06883
1136.01,142276270,CP,,12.5187279,2320.0,5.58857
1136.02,142276270,CP,,6.2586065,813.0,2.51593
1136.03,142276270,CP,,26.3208756,800.0,2.71349
1136.04,142276270,CP,,18.795547,470.6731965,2.1597669
1137.01,89389197,PC,,1.3206356,1052.4255997,34.7561624
1078.01,370133522,CP,,0.5182425,831.8920424,1.3485121
1079.01,379240073,PC,,3.1644075,5603.4635466,14.8814743
108.01,289793076,KP,,3.0440495,22807.0101774,12.3803804
1080.01,161032923,CP,,3.9652485,3680.7544436,1.2305102
1081.01,253728991,PC,,2.9840866,6014.0780197,12.5116438
1082.01,261108236,PC,,16.3469053,2212.4257252,3.5059571
1083.01,322270620,PC,,12.9802953,2407.2608671,2.4241912
1084.01,380589029,KP,,1.3484961,18463.7636682,15.8824638
1085.01,381979901,APC,,3.2541181,13620.0,14.9476
1086.01,468148930,PC,,3.7178828,4864.8405125,14.6986197
1087.01,426077080,FP,,9.30992,2220.0,14.2968
1088.01,343648136,FA,,1.15395,1550.0,5.48364
1089.01,129319156,FP,,4.73703,2410.0,25.7144
109.01,29344935,KP,,2.76676,14947.4387827,12.2867389
1090.01,361034196,FP,,2.19296,4933.74,22.7769
1091.01,193413306,PC,,1.725841,2710.0,15.0024
1092.01,387079085,FP,,1.1923,3730.0,30.666
1093.01,382331352,FP,,11.47606,3050.0,
1094.01,136274063,APC,,0.5971314,910.0,9.08382
1095.01,375223080,PC,,1.4821386,2102.6568299,13.7339261
1096.01,375225453,FP,,0.9209526,360.8801529,5.7349089
1097.01,360630575,CP,,9.188506,460.0,2.16591
1097.02,360630575,CP,,13.9028391,647.2701039,2.6136848
1098.01,383390264,CP,,10.1826983,667.4752458,3.0538057
1099.01,290348383,CP,,6.441006,914.0,2.56374
110.01,281459670,KP,,3.1743504,15457.3247576,14.9172256
1100.01,318608749,FP,,20.0731588,1152.9645461,4.0506906
1101.01,271581073,FP,,2.66903,3110.0,9.36823
1102.01,311890977,FP,,6.63371,1555.34,2.75375
1103.01,351603103,PC,,2.94308,4490.0,45.3525
1104.01,451599528,FP,,341.2791676,8583.5584652,21.4801659
1105.01,274151135,PC,,10.8680523,1553.0,2.90726
1106.01,384513078,PC,,11.1149,900.0,14.7645
1107.01,394561119,CP,,4.0782392,6046.6959687,13.898174
1172.01,1717732429,FP,,7.8513949,22029.0,
1173.01,232967440,CP,,7.0643978,8268.0,9.39131
1174.01,154089169,CP,,8.9534775,1136.0,2.35888
1175.01,30329585,FP,,7.5022708,1760.0,5.55812
1176.01,230088370,PC,,14.0077666,5924.8349672,12.4023108
1177.01,169177766,FP,,1.692892,1418.0,11.2371
1178.01,359496368,FP,,2.6652007,819.0,2.35964
1179.01,148914726,APC,,1.2615323,2841.0,8.67407
118.01,266980320,CP,,6.0344634,1750.6457632,4.6585117
1180.01,158002130,CP,,9.6867516,1669.0,3.00336
1181.01,229510866,CP,,2.1031647,7142.0,16.7087
1182.01,341544930,FP,,7.6416041,6025.0,27.538
1183.01,258777137,FP,,5.9294088,10226.0,10.8101
1184.01,233087860,CP,,5.7484439,1041.0,2.35215
1185.01,83210867,FP,,1.1967018,824.0,10.3239
1186.01,289539327,FP,,11.2464616,7576.0,17.6677
1187.01,372757221,PC,,2.5941968,907.0,4.47229
1188.01,15247229,FP,,8.5112,4172.76,
1189.01,112026224,PC,,3.9687994,1760.0,
119.01,278683844,PC,,5.5411113,597.3296582,1.9687561
119.02,278683844,PC,,10.69173,498.5173154,1.8105614
1190.01,287196418,APC,,3.6950015,7655.0,14.1288
1191.01,237185205,FP,,15.7335693,2540.0,24.3218
1192.01,158276040,APC,,45.9403293,14807.0,28.3312
1193.01,89643259,FP,,2.2219839,4394.0,15.4416
1194.01,147950620,CP,,2.3106428,6911.0,8.76741
1195.01,24364065,FP,,4.05135,1132.23,14.2359
1196.01,69068526,PC,,5.5376617,5390.0,15.6557
1197.01,92677094,PC,,4.5960377,5000.0,16.2166
1198.01,203189770,KP,,3.612771,11794.0,19.3662
1199.01,99869022,CP,,3.6714717,4340.0,10.678
120.01,394137592,CP,,11.535076,2389.90616,12.215808
1200.01,288185138,FP,,0.8352406,2065.0,6.4875
1201.01,29960110,CP,,2.4919771,2093.9594201,2.2187585
1202.01,327017634,FP,,,878.134108,1.710706
1203.01,23434737,CP,,25.5195307,558.3758637,2.9641461
1204.01,467666275,PC,,1.3812115,117.7553083,2.2402361
1138.01,110428269,FP,,0.64971,620.0,6.23181
1139.01,202563254,PC,,4.4780798,1054.0,11.3678
114.01,25155310,KP,,3.2887898,7005.7247902,10.5135877
1140.01,320525204,FP,,13.7431084,5688.0,12.05
1141.01,159510109,FP,,16.9487087,156467.5479643,45.2204505
1142.01,284450803,FP,,3.3686634,3288.0,42.2321
1143.01,160268701,FP,,11.2071839,3276.0,17.4989
1144.01,28230919,KP,,4.8878037,4279.0,5.29152
1145.01,350995812,FP,,2.97164,7350.0,
1146.01,21755546,FP,,0.660179,473.0939303,6.1672487
1147.01,288391628,FP,,10.9278415,2743.0,49.1695
1148.01,349827430,KP,,5.5514888,9493.0,15.8043
1149.01,117789567,APC,,2.3202418,5082.9417064,
115.01,281541555,KP,,4.7423709,12650.8110411,10.5505922
1150.01,16740101,KP,,1.4810903,6788.5145388,20.3402421
1151.01,69679391,KP,,3.4741012,15748.0,21.2912
1152.01,237184773,FA,,6.5011911,4501.3454064,
1153.01,154840461,APC,,6.0360758,987.0,9.86763
1154.01,459970307,PC,,21.745537,659.0,2.10208
1155.01,161450762,FP,,1.32003,552.468,
1156.01,117256577,FP,,1.6865822,1770.0,
1157.01,147576037,FP,,13.0727479,4080.0,35.7944
1158.01,379931600,FP,,2.9258727,6720.0,24.4055
1159.01,48188920,FP,,0.73774,524.852,5.28215
116.01,238176110,KP,,2.7985802,16708.7151957,11.9514993
1160.01,89510024,FP,,2.3664127,300.0,
1161.01,158324245,KP,,1.7635881,6650.0,
1162.01,13419950,PC,,7.3166682,3210.0,
1163.01,375542276,PC,,3.0771612,4703.2844346,
1164.01,16102323,FP,,3.2077145,9640.0,
1165.01,458478250,KP,,2.2552845,20820.0,14.688
1166.01,138361973,FP,,1.8824539,1391.0,8.29008
1167.01,232967666,FP,,15.196,1970.0,4.96345
1168.01,41330864,FP,,2.1358631,10325.0,23.6019
1169.01,302518439,PC,,6.7075429,11920.0,17.4647
117.01,322307342,KP,,3.5862962,5729.3246858,16.4747611
