TIC,m_TIC,RAJ2000,DEJ2000,pmRA,pmDE,Tmag,BJD0,e_BJD0,Per,e_Per,Morph,Wp-pf,Dp-pf,Phip-pf,Ws-pf,Ds-pf,Phis-pf,Wp-2g,Dp-2g,Phip-2g,Ws-2g,Ds-2g,Phis-2g,TESSebs,Simbad
4742129,1,39.7864663249,-10.4628981788,-16.998,-96.666,11.206,1410.979939,0.001142936,2.0720163,3.4469785e-06,0.375,0.045,0.448,0.9993,0.045,0.331,0.499,0.06666,0.493,0.9999,0.062,0.373,0.5,TESSebs,Simbad
142852841,1,50.5061933644,-31.1046657258,-9.706,21.526,9.638,1412.017134,0.0004629283,3.4208469,6.8220875e-05,0.185,0.022,0.023,0.998,0.017,0.004,0.498,0.03115,0.028,0.9981,,,,TESSebs,Simbad
153742549,1,66.5253497594,-44.5954126818,6.084,-11.493,9.665,1411.906591,0.005433221,6.0704815,3.5023205e-05,0.309,0.035,0.113,0.999,0.035,0.094,0.499,0.04848,0.12,0.9999,0.05,0.099,0.5,TESSebs,Simbad
361993750,1,51.9820413219,4.3812305754,-43.01,-36.632,9.343,1412.767731,0.2985998,1.5991689,4.8936751e-05,0.416,0.039,0.019,0.9985,,,,,,,,,,TESSebs,Simbad
44890224,1,63.2886615745,-24.2179404436,-8.771,-5.357,14.514,1417.928878,0.0003601139,10.62318,6.6364304e-05,0.081,,,0.7054,,,0.705,0.01281,0.233,0.6525,,,,TESSebs,Simbad
453828065,1,53.3348685959,0.1224041029,88.636,-8.953,16.18,1413.71621,0.002762561,9.138309,0.0035511732,0.231,,,,,,,0.04612,0.292,0.004252,,,,TESSebs,Simbad
161577376,1,75.1369216803,-46.1892524969,10.455,-15.063,11.312,1412.947035,0.00486662,8.2844594,3.730438e-05,0.182,0.019,0.004,1.003,,,,0.03504,0.025,0.00387,,,,TESSebs,Simbad
358335586,1,77.2549809258,-54.9967372243,7.351,7.585,9.325,1411.547703,0.0005605708,1.2212853,1.253655e-05,0.564,0.136,0.008,1.003,0.136,0.001,0.504,0.1994,0.009,0.003224,,,,TESSebs,Simbad
89045042,1,47.5942798707,-31.1266072873,26.395,20.979,8.859,1412.931366,0.02190749,12.6427516,2.5931769e-05,0.088,0.009,0.002,0.9982,,,,0.01754,0.034,5.434e-05,,,,TESSebs,Simbad
231293332,1,44.7191966824,-49.1765884411,39.696,27.577,9.903,1412.931461,6.607269e-05,3.5757198,2.6617858e-05,0.319,0.035,0.151,1.0,0.035,0.147,0.5,0.0516,0.161,1.645e-05,0.05,0.159,0.5,TESSebs,Simbad
257691369,1,77.8607083469,-55.3100321094,-32.748,-29.106,10.347,1426.936356,0.0001929643,85.8515645,0.00075032937,0.029,0.002,0.083,0.9999,0.002,0.048,0.5,0.002639,0.085,0.4998,0.003,0.081,0.9999,TESSebs,Simbad
153709888,1,65.5665398363,-42.07565493,3.407,0.151,11.465,1412.635901,0.0001758032,2.1663476,1.2058875e-05,0.391,0.062,0.06,1.0,,,,0.09164,0.066,2.581e-05,,,,TESSebs,Simbad
279454212,1,58.4771757711,-16.9542670788,28.493,-39.462,10.102,1411.223237,0.0001694123,11.761213,3.1980736e-06,0.075,0.012,0.04,0.9999,,,,0.01638,0.043,0.9999,0.02,0.003,0.5025,TESSebs,Simbad
153741139,1,66.3821179009,-46.2188130506,7.826,0.626,10.406,1424.787683,0.0004115887,16.588177,1.7623063e-05,0.166,0.021,0.031,0.9998,0.02,0.012,0.529,0.02759,0.034,0.9998,0.029,0.013,0.529,TESSebs,Simbad
170749770,1,68.2449713071,-33.4966431536,-1.424,-21.399,10.705,1412.46376,0.0005374845,5.3055493,6.1046833e-06,0.444,0.046,0.01,1.001,,,,0.08804,0.02,0.0003986,,,,TESSebs,Simbad
302384263,1,33.078035026,-13.5117104003,153.68,-74.764,9.699,1411.837396,0.01201081,6.7112322,0.00010566171,0.161,0.014,0.075,0.2279,,,,0.01811,0.086,0.2259,0.012,0.024,0.7254,TESSebs,Simbad
159984211,1,50.3327402649,-40.4016786635,4.189,-8.028,12.626,1386.932895,0.003305144,3.659904,0.00094568212,0.486,,,,,,,0.1411,0.013,0.01361,0.365,0.003,0.5288,TESSebs,Simbad
35744583,1,39.8547352419,-5.2137052728,74.869,-0.966,10.844,1410.99977,0.0002569336,2.0689326,3.6715552e-05,0.548,,,1.065,,,0.013,0.04126,0.117,0.0003321,,,,TESSebs,Simbad
64108432,1,39.8720277843,-20.0399971907,32.988,-11.86,10.136,1413.458146,0.05647868,2.7787077,4.2474835e-06,0.41,0.045,0.003,0.981,,,,0.09566,0.021,0.001483,,,,TESSebs,Simbad
237944385,1,101.2273145292,-48.7077968806,7.255,58.372,8.666,1469.251529,0.003083075,4.4250091,1.2220861e-05,0.163,0.016,0.008,0.9995,,,,0.0277,0.018,0.0002586,,,,TESSebs,Simbad
317411334,1,87.7199254215,-12.1506568369,-25.808,-4.637,10.02,1470.144944,0.0001723023,2.8973082,0.00011310981,0.333,0.039,0.091,1.0,0.037,0.079,0.5,0.05463,0.1,9.008e-05,0.058,0.087,0.5,TESSebs,Simbad
201497357,1,93.0935429311,-30.4815061857,-6.751,13.716,8.139,1470.082185,0.0001023201,2.8721398,3.7527693e-05,0.451,0.06,0.324,0.9999,0.062,0.138,0.5,0.09068,0.336,0.9999,0.091,0.151,0.5,TESSebs,Simbad
291385340,1,94.3639586989,11.0048622109,4.953,-7.865,10.507,1468.065925,0.0003219034,15.7196245,8.8581186e-05,0.093,0.014,0.401,1.0,0.029,0.391,0.332,0.02125,0.467,5.379e-06,0.042,0.456,0.3316,TESSebs,Simbad
124033255,1,91.7144107654,-19.8397100785,1.538,1.497,12.137,1471.2429,0.0008177563,3.3673406,1.0180005e-05,0.333,,,,,,,0.06407,0.026,0.000691,,,,TESSebs,Simbad
11286209,1,84.6966875006,-2.5945874743,1.281,-0.622,6.852,1468.138678,0.04193021,1.1909336,6.5718824e-05,0.572,0.15,0.028,0.9666,,,,0.2728,0.04,0.001832,0.309,0.025,0.4105,TESSebs,Simbad
238162238,1,106.3960397775,-48.8400700626,-8.015,-15.28,8.745,1470.61537,0.0001649601,2.4374384,1.5163023e-05,0.375,0.033,0.042,1.0,0.033,0.026,0.5,0.05544,0.044,0.9999,0.042,0.032,0.4999,TESSebs,Simbad
264594193,1,80.7730608794,1.0569167106,4.41,-7.229,7.701,1468.063257,0.000192361,2.2289026,4.6359017e-05,0.481,0.069,0.109,1.0,0.067,0.073,0.5,0.09967,0.118,1.0,0.095,0.08,0.4997,TESSebs,Simbad
